iter	Passed	Remaining
0	42	41971
1	76	37942
2	112	37418
3	146	36538
4	163	32564
5	199	32971
6	228	32430
7	234	29118
8	246	27122
9	253	25108
10	270	24288
11	276	22743
12	288	21887
13	321	22633
14	356	23392
15	362	22289
16	399	23102
17	419	22879
18	453	23438
19	460	22553
20	495	23103
21	530	23601
22	567	24111
23	602	24490
24	610	23809
25	645	24192
26	657	23706
27	686	23844
28	704	23578
29	711	23002
30	716	22403
31	757	22923
32	796	23333
33	814	23136
34	821	22661
35	830	22235
36	866	22544
37	901	22832
38	910	22442
39	928	22293
40	968	22646
41	1008	23000
42	1016	22615
43	1056	22951
44	1096	23275
45	1109	23006
46	1148	23285
47	1184	23487
48	1195	23205
49	1207	22942
50	1242	23120
51	1278	23304
52	1313	23466
53	1348	23623
54	1384	23787
55	1401	23632
56	1409	23312
57	1426	23168
58	1433	22862
59	1468	22998
60	1502	23130
61	1537	23264
62	1571	23371
63	1605	23477
64	1613	23213
65	1622	22967
66	1659	23104
67	1695	23235
68	1730	23353
69	1772	23554
70	1802	23588
71	1837	23678
72	1867	23717
73	1904	23831
74	1941	23949
75	1979	24070
76	2011	24108
77	2019	23875
78	2055	23967
79	2063	23725
80	2074	23539
81	2113	23665
82	2150	23761
83	2184	23823
84	2222	23919
85	2255	23967
86	2289	24027
87	2324	24085
88	2358	24138
89	2396	24226
90	2430	24275
91	2463	24311
92	2497	24361
93	2533	24418
94	2550	24298
95	2584	24336
96	2618	24377
97	2655	24443
98	2690	24488
99	2727	24545
100	2763	24598
101	2806	24711
102	2818	24544
103	2855	24598
104	2891	24649
105	2931	24720
106	2971	24795
107	3007	24838
108	3045	24894
109	3085	24962
110	3098	24812
111	3132	24838
112	3167	24859
113	3201	24879
114	3235	24902
115	3271	24929
116	3307	24959
117	3341	24976
118	3378	25010
119	3384	24820
120	3420	24849
121	3455	24871
122	3489	24879
123	3524	24895
124	3559	24919
125	3595	24941
126	3630	24953
127	3665	24971
128	3700	24988
129	3736	25007
130	3776	25048
131	3814	25080
132	3848	25090
133	3882	25092
134	3921	25126
135	3959	25155
136	3996	25177
137	4033	25193
138	4071	25221
139	4110	25248
140	4144	25249
141	4178	25245
142	4213	25250
143	4248	25255
144	4282	25252
145	4294	25119
146	4329	25120
147	4364	25126
148	4399	25125
149	4433	25125
150	4468	25121
151	4502	25119
152	4514	24990
153	4551	25004
154	4588	25013
155	4622	25009
156	4656	25003
157	4692	25008
158	4728	25008
159	4764	25012
160	4809	25062
161	4845	25062
162	4879	25057
163	4919	25079
164	4956	25084
165	4994	25092
166	5032	25103
167	5069	25105
168	5108	25118
169	5115	24977
170	5150	24969
171	5184	24958
172	5219	24950
173	5253	24939
174	5299	24985
175	5333	24971
176	5372	24978
177	5407	24972
178	5416	24842
179	5451	24833
180	5484	24816
181	5517	24796
182	5552	24789
183	5587	24780
184	5622	24770
185	5658	24763
186	5693	24751
187	5727	24738
188	5769	24757
189	5788	24678
190	5823	24667
191	5859	24657
192	5899	24667
193	5938	24670
194	5977	24675
195	6015	24675
196	6052	24669
197	6089	24665
198	6125	24656
199	6158	24635
200	6191	24612
201	6228	24604
202	6262	24585
203	6295	24564
204	6331	24554
205	6369	24551
206	6403	24529
207	6436	24509
208	6470	24488
209	6505	24472
210	6539	24453
211	6548	24339
212	6582	24322
213	6617	24304
214	6653	24292
215	6689	24279
216	6723	24259
217	6758	24244
218	6802	24259
