iter	Logloss
0	0.6754335393
1	0.6577603796
2	0.6425547886
3	0.6267991467
4	0.6128847919
5	0.5977693118
6	0.5829707012
7	0.5691229235
8	0.5564085961
9	0.5447699542
10	0.5328259784
11	0.5212492756
12	0.5102017242
13	0.499510122
14	0.4899150428
15	0.480050393
16	0.4716952038
17	0.4631656194
18	0.455583042
19	0.4472351851
20	0.4393282546
21	0.4317265214
22	0.4247476912
23	0.4179167074
24	0.4113809203
25	0.4052387824
26	0.399720017
27	0.3939317871
28	0.3883759142
29	0.383191703
30	0.377884304
31	0.3729670433
32	0.3680804398
33	0.3640207971
34	0.3600097181
35	0.3552531005
36	0.3510047856
37	0.3473800621
38	0.3429297141
39	0.3393424984
40	0.3358061284
41	0.332148831
42	0.3289855653
43	0.3258900916
44	0.3227244326
45	0.3198001742
46	0.3169792495
47	0.3143213197
48	0.3115697432
49	0.3089150542
50	0.3064188992
51	0.3038860416
52	0.3015347013
53	0.2992863986
54	0.2970939563
55	0.2949174346
56	0.2929324288
57	0.2909707565
58	0.2892292019
59	0.2873908635
60	0.285983161
61	0.2844310338
62	0.2827861357
63	0.2811554512
64	0.2795205438
65	0.2777376606
66	0.2762346975
67	0.2749241087
68	0.2732926724
69	0.2719242788
70	0.2705526342
71	0.2690809289
72	0.2676139058
73	0.2663998629
74	0.2656961888
75	0.264639636
76	0.2633861284
77	0.2625215972
78	0.2614384633
79	0.2602570873
80	0.2591027032
81	0.2580571879
82	0.2571853068
83	0.2562925587
84	0.2551955922
85	0.2543532586
86	0.2532737888
87	0.2523676085
88	0.2516596364
89	0.2508669609
90	0.2499086232
91	0.2491139644
92	0.2484571083
93	0.2477364369
94	0.2472037678
95	0.2463346395
96	0.2455228259
97	0.2447839312
98	0.2441423934
99	0.2434613025
100	0.2427917812
101	0.2420203025
102	0.2412595049
103	0.2404245296
104	0.2397277824
105	0.239107662
106	0.2384925455
107	0.2379027101
108	0.2372881083
109	0.2366674081
110	0.2360532342
111	0.2355637856
112	0.2350066431
113	0.2345855002
114	0.2338344886
115	0.2334389469
116	0.2326856285
117	0.2321980508
118	0.231650648
119	0.2311546297
120	0.2307701063
121	0.2303510872
122	0.2298901133
123	0.2296848578
124	0.2293273801
125	0.2289727554
126	0.2287790796
127	0.2283765125
128	0.2279289098
