iter	Passed	Remaining
0	14	14151
1	21	10664
2	62	20697
3	70	17656
4	104	20723
5	110	18288
6	119	16925
7	125	15585
8	159	17570
9	177	17531
10	184	16564
11	191	15746
12	198	15081
13	204	14424
14	213	14021
15	221	13609
16	256	14822
17	290	15827
18	324	16738
19	330	16197
20	364	16977
21	373	16593
22	409	17399
23	426	17364
24	460	17963
25	467	17520
26	485	17481
27	493	17143
28	535	17916
29	543	17573
30	549	17183
31	558	16899
32	565	16559
33	600	17069
34	629	17359
35	642	17216
36	655	17052
37	664	16812
38	694	17107
39	732	17588
40	745	17430
41	754	17202
42	792	17636
43	828	17997
44	837	17763
45	866	17973
46	878	17813
47	907	17989
48	939	18231
49	946	17984
50	958	17835
51	994	18133
52	1035	18506
53	1042	18256
54	1076	18499
55	1111	18733
56	1122	18576
57	1129	18340
58	1162	18548
59	1169	18322
60	1178	18136
61	1213	18357
62	1247	18554
63	1264	18493
64	1299	18694
65	1334	18884
66	1369	19064
67	1404	19252
68	1440	19436
69	1449	19256
70	1456	19055
71	1489	19202
72	1531	19441
73	1544	19326
74	1549	19112
75	1561	18988
76	1597	19149
77	1605	18976
78	1645	19182
79	1653	19014
80	1691	19186
81	1730	19376
82	1770	19560
83	1810	19744
84	1830	19701
85	1844	19604
86	1864	19570
87	1878	19469
88	1915	19611
89	1954	19761
90	1997	19949
91	2007	19809
92	2051	20003
93	2071	19967
94	2082	19838
95	2121	19977
96	2159	20106
97	2198	20232
98	2209	20105
99	2249	20242
100	2291	20392
101	2336	20568
102	2380	20731
103	2424	20890
104	2472	21072
105	2522	21274
106	2571	21457
107	2606	21526
108	2652	21683
109	2689	21760
110	2733	21895
111	2777	22020
112	2818	22125
113	2862	22248
114	2903	22343
115	2941	22416
116	2981	22499
117	3028	22637
118	3069	22723
119	3109	22805
120	3149	22876
121	3161	22753
122	3202	22833
123	3210	22681
124	3249	22748
125	3289	22818
126	3328	22878
127	3367	22938
128	3406	23001
129	3446	23062
130	3459	22951
131	3498	23006
132	3504	22846
133	3551	22949
134	3589	23001
135	3633	23081
136	3673	23138
137	3714	23202
138	3728	23097
139	3769	23153
140	3809	23211
141	3850	23266
142	3887	23299
143	3926	23339
144	3966	23391
145	4010	23456
146	4051	23510
147	4058	23362
148	4096	23395
149	4136	23437
150	4175	23475
151	4207	23472
152	4246	23506
153	4284	23539
154	4324	23574
155	4364	23611
156	4374	23489
157	4412	23515
158	4450	23539
159	4488	23565
160	4527	23591
161	4573	23658
162	4614	23696
163	4656	23735
164	4697	23773
165	4739	23809
166	4780	23846
167	4823	23887
168	4831	23755
169	4841	23638
170	4881	23663
171	4919	23681
172	4957	23698
173	4967	23580
174	5009	23616
175	5050	23643
176	5089	23663
177	5129	23689
178	5167	23703
179	5204	23708
180	5242	23723
181	5279	23729
182	5318	23745
183	5338	23676
184	5377	23689
185	5415	23701
186	5455	23718
187	5494	23731
188	5504	23621
189	5544	23635
190	5592	23686
191	5633	23707
192	5674	23728
193	5715	23745
194	5755	23759
195	5796	23777
196	5834	23780
197	5870	23778
198	5907	23778
199	5944	23779
200	5987	23801
201	6028	23817
202	6066	23819
203	6104	23821
204	6168	23919
205	6203	23911
206	6239	23901
207	6275	23894
208	6282	23779
209	6320	23775
210	6357	23772
211	6395	23771
212	6431	23764
213	6470	23764
214	6508	23762
215	6553	23787
216	6563	23684
217	6603	23688
218	6645	23700
219	6686	23706
220	6726	23709
221	6764	23706
222	6802	23701
223	6842	23703
224	6879	23696
225	6917	23689
226	6963	23714
227	6981	23638
228	6986	23522
229	7024	23515
230	7032	23412
231	7072	23413
232	7080	23307
233	7116	23296
234	7154	23291
235	7195	23293
236	7232	23284
237	7272	23285
238	7311	23279
239	7348	23269
240	7388	23267
241	7426	23261
242	7464	23252
243	7502	23246
244	7548	23261
245	7594	23276
246	7637	23283
247	7671	23261
248	7713	23263
249	7754	23262
250	7791	23251
251	7811	23187
252	7821	23093
253	7859	23084
254	7897	23072
255	7942	23083
256	7980	23072
257	8018	23060
258	8056	23048
259	8087	23018
260	8123	23001
261	8134	22914
262	8173	22904
263	8209	22888
264	8247	22876
265	8287	22868
266	8325	22855
267	8365	22848
268	8402	22833
269	8440	22821
270	8480	22812
271	8518	22799
272	8526	22707
273	8543	22635
274	8552	22548
275	8598	22554
276	8639	22549
277	8644	22450
278	8684	22441
279	8724	22433
280	8762	22419
281	8798	22401
282	8835	22384
283	8865	22350
284	8902	22333
285	8943	22326
286	8981	22312
287	9019	22297
288	9027	22210
289	9064	22193
290	9102	22177
291	9141	22164
292	9178	22147
293	9216	22132
294	9254	22115
295	9290	22096
296	9328	22080
297	9365	22062
298	9402	22043
299	9441	22029
300	9478	22011
301	9515	21993
302	9560	21993
303	9572	21914
304	9613	21906
305	9653	21893
306	9693	21882
307	9733	21868
308	9773	21855
309	9814	21844
310	9851	21824
311	9887	21803
312	9928	21791
313	9970	21781
314	10007	21762
315	10043	21738
316	10078	21715
317	10116	21697
318	10154	21678
319	10161	21594
320	10198	21572
321	10237	21555
322	10274	21535
323	10313	21518
324	10352	21500
325	10388	21477
326	10426	21458
327	10463	21438
328	10501	21418
329	10511	21341
330	10551	21325
331	10594	21316
332	10634	21301
333	10675	21286
334	10714	21269
335	10753	21250
336	10793	21234
337	10831	21214
338	10850	21156
339	10894	21147
340	10940	21142
341	10981	21128
342	11017	21103
343	11054	21080
344	11091	21058
345	11130	21037
346	11135	20955
347	11144	20879
348	11180	20856
349	11218	20833
350	11254	20809
351	11289	20783
352	11327	20762
353	11366	20741
354	11397	20708
355	11436	20687
356	11473	20664
357	11509	20639
358	11547	20617
359	11594	20611
360	11634	20593
361	11675	20577
362	11715	20557
363	11756	20541
364	11792	20516
365	11829	20492
366	11867	20469
367	11906	20448
368	11952	20439
369	11992	20420
370	12029	20395
371	12065	20369
372	12102	20343
373	12138	20317
374	12176	20294
375	12214	20271
376	12222	20197
377	12257	20169
378	12295	20146
379	12332	20121
380	12370	20097
381	12408	20074
382	12444	20048
383	12450	19972
384	12487	19946
385	12493	19872
386	12531	19849
387	12579	19841
388	12620	19822
389	12660	19802
390	12666	19728
391	12706	19707
392	12745	19686
393	12785	19664
394	12794	19596
395	12829	19568
396	12867	19544
397	12907	19523
398	12940	19491
399	12954	19431
400	12991	19406
401	13028	19380
402	13041	19319
403	13079	19295
404	13117	19270
405	13153	19244
406	13189	19216
407	13196	19147
408	13235	19125
409	13272	19099
410	13309	19074
411	13347	19049
412	13384	19022
413	13422	18998
414	13458	18972
415	13494	18944
416	13533	18920
417	13577	18904
418	13620	18886
419	13627	18818
420	13666	18794
421	13704	18770
422	13743	18746
423	13780	18720
424	13816	18692
425	13854	18667
426	13889	18638
427	13931	18618
428	13969	18593
429	14004	18564
430	14040	18536
431	14073	18504
432	14114	18482
433	14156	18462
434	14202	18447
435	14248	18432
436	14292	18413
437	14338	18397
438	14383	18380
439	14428	18363
440	14472	18344
441	14514	18323
442	14521	18258
443	14565	18239
444	14612	18224
445	14652	18201
446	14693	18177
447	14731	18151
448	14770	18126
449	14810	18101
450	14848	18074
451	14884	18046
452	14930	18028
453	14945	17974
454	14988	17953
455	15029	17930
456	15045	17876
457	15086	17853
458	15128	17830
459	15171	17810
460	15212	17786
461	15254	17764
462	15260	17699
463	15304	17679
464	15346	17657
465	15390	17636
466	15433	17614
467	15469	17584
468	15506	17556
469	15546	17531
470	15591	17511
471	15600	17451
